"TELEPULES_ID","TELEPULES","LAKOS"
"07135","Cserszegtomaj","2765"
"10649","Csertalakos","26"
"13851","Csertő","397"
"25681","Cserénfa","199"
"06974","Cserépfalu","1018"
"25575","Cserépváralja","433"
"24642","Csesznek","519"
"02583","Csesztreg","783"
"20145","Csesztve","303"
"31699","Csetény","1897"
"11998","Csibrák","324"
"13505","Csikvánd","460"
"15699","Csikéria","922"
"30094","Csikóstőttős","890"
"34111","Csincse","552"
"26064","Csipkerek","327"
"05050","Csitár","385"
"20774","Csobaj","721"
"05333","Csobád","680"
"06822","Csobánka","3175"
"05971","Csokonyavisonta","1614"
"14289","Csokvaomány","849"
"18926","Csolnok","3288"
"08040","Csoma","437"
"02477","Csombárd","288"
"33118","Csomád","1546"
"05111","Csongrád","17147"
"31149","Csonkahegyhát","367"
"22576","Csonkamindszent","182"
"02185","Csopak","1617"
"04039","Csorna","10585"
"26709","Csorvás","5085"
"21315","Csurgó","5248"
"10603","Csurgónagymarton","174"
"10047","Csáfordjánosfa","205"
"05360","Csákberény","1201"
"20002","Csákvár","5212"
"03799","Csákány","287"
"03911","Csákánydoroszló","1745"
"26772","Csánig","377"
"16841","Csány","2230"
"19901","Csányoszró","666"
"25502","Csárdaszállás","463"
"09715","Császló","374"
"16416","Császár","1745"
"10472","Császártöltés","2354"
"26471","Csátalja","1501"
"16373","Csávoly","1842"
"30270","Csécse","896"
"33640","Csém","471"
"09070","Csénye","728"
"18272","Csép","352"
"13170","Csépa","1579"
"30191","Csér","30"
"18476","Csévharaszt","1936"
"21908","Csókakő","1296"
"12025","Csólyospálos","1660"
"09779","Csór","1832"
"32878","Csót","997"
"06734","Csősz","1032"
"26985","Csővár","662"
"27492","Csöde","79"
"32814","Csögle","625"
"12450","Csökmő","1792"
"24314","Csököly","1160"
"27270","Csömend","292"
"29364","Csömödér","579"
"22804","Csömör","9192"
"22390","Csönge","382"
"33978","Csörnyeföld","443"
"34333","Csörög","2267"
"04224","Csörötnek","828"
"08271","Cák","294"
"09681","Cégénydányád","693"
"11086","Cún","232"
"09247","Dabas","16716"
"17172","Dabronc","419"
"28237","Dabrony","368"
"33163","Dad","1011"
"29230","Dalmand","1280"
"11350","Damak","239"
"15990","Daraboshegy","95"
"18795","Darnó","160"
"21865","Darnózseli","1582"
"34342","Daruszentmiklós","1624"
"14678","Darvas","531"
"31352","Darány","900"
"07320","Debercsény","80"
"15130","Debrecen","208016"
"31954","Debréte","18"
"24989","Decs","4100"
"12511","Dejtár","1425"
"17756","Demecser","4304"
"08660","Demjén","584"
"07773","Dencsháza","590"
"05573","Derecske","8964"
"07834","Derekegyház","1615"
"24077","Deszk","3665"
"10524","Detek","279"
"09201","Detk","1179"
"32276","Devecser","4551"
"11952","Dinnyeberki","87"
"11688","Diósberény","341"
"24013","Diósd","9213"
"06743","Diósjenő","2856"
"28778","Dióskál","471"
"32373","Diósviszló","721"
"10870","Doba","506"
"33190","Doboz","4168"
"25885","Dobri","163"
"32708","Dobronhegy","135"
"25690","Domaháza","827"
"13383","Domaszék","4927"
"24031","Dombegyház","1980"
"22132","Dombiratos","521"
"14508","Dombrád","3912"
"07685","Dombóvár","19703"
"04808","Domony","2164"
"07515","Domoszló","2019"
"30261","Dormánd","1048"
"10490","Dorog","12112"
"24439","Dorogháza","1098"
"16151","Dozmat","231"
"07524","Drágszél","328"
"28617","Drávacsehi","220"
"28121","Drávacsepely","201"
"17419","Drávafok","477"
"13611","Drávagárdony","140"
"32391","Drávaiványi","200"
"09159","Drávakeresztúr","116"
"22734","Drávapalkonya","251"
"12380","Drávapiski","122"
"28608","Drávaszabolcs","670"
"30030","Drávaszerdahely","187"
"21698","Drávasztára","393"
"15884","Drávatamási","394"
"08156","Drégelypalánk","1504"
"27669","Dubicsány","293"
"02936","Dudar","1578"
"02927","Duka","224"
"33835","Dunaalmás","1610"
"25362","Dunabogdány","3199"
"21069","Dunaegyháza","1497"
"12566","Dunafalva","827"
"31501","Dunaföldvár","8776"
"09584","Dunaharaszti","20172"
"18616","Dunakeszi","39446"
"27739","Dunakiliti","1861"
"07861","Dunapataj","3211"
"02079","Dunaremete","241"
"21078","Dunaszeg","1985"
"09186","Dunaszekcső","1937"
"11606","Dunaszentbenedek","813"
"09539","Dunaszentgyörgy","2534"
"24101","Dunaszentmiklós","447"
"15875","Dunaszentpál","739"
"10454","Dunasziget","1426"
"14766","Dunatetétlen","543"
"20534","Dunavarsány","7363"
"07612","Dunavecse","3970"
"03115","Dunaújváros","48104"
"04109","Dusnok","2912"
"22910","Dág","933"
"20154","Dáka","653"
"07719","Dámóc","398"
"31811","Dánszentmiklós","2941"
"18397","Dány","4498"
"10533","Dávod","1976"
"04686","Dédestapolcsány","1436"
"32753","Dég","2066"
"09973","Délegyháza","3406"
"32595","Dénesfa","368"
"24819","Dévaványa","7707"
"30535","Dóc","762"
"07782","Döbröce","71"
"02565","Döbrököz","1938"
"29470","Döbrönte","261"
"20695","Döbörhegy","158"
"03647","Döge","2106"
"29647","Dömsöd","5732"
"06594","Dömös","1159"
"21917","Dör","689"
"06363","Dörgicse","255"
"03036","Döröske","78"
"16009","Dötk","26"
"06123","Dövény","289"
"19202","Dúzs","259"
"26347","Ebergőc","153"
"14614","Ebes","4392"
"04251","Ecseg","1215"
"09432","Ecsegfalva","1159"
"10861","Ecseny","217"
"24518","Ecser","3649"
"17181","Ecséd","3254"
"03489","Edde","195"
"10728","Edelény","10101"
"22442","Edve","104"
"20491","Eger","56530"
"33871","Egeralja","237"
"24262","Egeraracsa","300"
"12821","Egerbakta","1449"
"26019","Egerbocs","555"
"16610","Egercsehi","1390"
"02981","Egerfarmos","714"
"05865","Egerlövő","565"
"24758","Egerszalók","1884"
"13648","Egerszólát","1061"
"33428","Egervár","1008"
"28796","Egervölgy","343"
"28918","Egerág","994"
"20288","Egyed","522"
"15741","Egyek","4952"
"17659","Egyházasdengeleg","470"
"15237","Egyházasfalu","844"
"05980","Egyházasgerge","727"
"16498","Egyházasharaszti","316"
"10232","Egyházashetye","324"
"30429","Egyházashollós","545"
"10445","Egyházaskesző","486"
"27401","Egyházaskozár","797"
"25946","Egyházasrádóc","1279"
"32957","Elek","4899"
"06099","Ellend","221"
"20358","Előszállás","2157"
"04677","Emőd","4983"
"33048","Encs","6197"
"32328","Encsencs","1953"
"25496","Endrefalva","1313"
"28273","Endrőc","369"
"15033","Enese","1795"
"02802","Enying","6847"
"22992","Eperjes","507"
"18528","Eperjeske","1141"
"33941","Eplény","521"
"29638","Epöl","589"
"23603","Ercsi","8115"
"25326","Erdőbénye","1037"
"22503","Erdőhorváti","561"
"13480","Erdőkertes","7650"
"28556","Erdőkövesd","633"
"22655","Erdőkürt","555"
"18704","Erdősmecske","389"
"25821","Erdősmárok","87"
"21795","Erdőtarcsa","508"
"24235","Erdőtelek","3156"
"20118","Erk","891"
"13499","Erzsébet","312"
"06178","Eszteregnye","694"
"25131","Esztergom","30858"
"15769","Esztergályhorváti","437"
"25469","Esztár","1345"
"06664","Ete","562"
"15370","Etes","1428"
"02316","Etyek","4367"
"18980","Fadd","4403"
"03230","Fajsz","1667"
"12557","Fancsal","301"
"10250","Farkasgyepű","406"
"34272","Farkaslyuk","1739"
"09122","Farmos","3654"
"33996","Farád","1934"
"17835","Fazekasboda","201"
"12432","Fedémes","312"
"16647","Fegyvernek","6448"
"18971","Fehérgyarmat","7873"
"06956","Fehértó","456"
"32203","Fehérvárcsurgó","1926"
"04543","Feked","162"
"32717","Feketeerdő","557"
"29939","Felcsút","1788"
"20747","Feldebrő","1035"
"22646","Felgyő","1312"
"33251","Felpéc","854"
"08174","Felsőberecki","279"
"13587","Felsőcsatár","479"
"09742","Felsődobsza","891"
"13286","Felsőegerszeg","136"
"29708","Felsőgagy","173"
"08013","Felsőjánosfa","178"
"31723","Felsőkelecsény","371"
"33598","Felsőlajos","1031"
"29841","Felsőmarác","258"
"13985","Felsőmocsolád","428"
"32762","Felsőnyárád","1017"
"17914","Felsőnyék","1039"
"15820","Felsőnána","604"
"06035","Felsőpakony","3403"
"24323","Felsőpetény","684"
"11642","Felsőpáhok","636"
"21476","Felsőrajk","738"
"07588","Felsőregmec","324"
"30890","Felsőszenterzsébet","13"
